Number of Servers (n),Average Processing Time
10,0.8721101224083415
100,0.4031561306276347
500,0.32518291771966223
1000,0.3151307780620177
1500,0.2995062488931198
2000,0.29363902969756617
2500,0.28732906615964077
3000,0.2806600536400118
